,,Disk,Ala,Gly,Thr,Ser,Val,Leu,Ile,Nle,Pro,Asp,Met,Glu,Phe,Tyr,Lys,Arg,His
FCB,GOM 7.5,7,18.41686111,11.32830556,-19.21366667,11.83677778,21.75341667,23.15702778,22.07730556,6.659833333,25.16938889,13.95952778,,17.60602778,5.864777778,0.904333333,1.605833333,14.70338889,0.156125
FCB,GOM 7.6,7,17.94711111,11.34355556,-18.57466667,11.86977778,22.25766667,22.60652778,22.53930556,6.212333333,25.44813889,14.05127778,,17.42752778,5.165777778,1.754833333,5.655666667,13.18588889,3.163625
FCB,GOM 7.7,7,18.06911111,10.81455556,-18.94741667,11.71277778,21.62566667,22.30277778,21.48105556,5.971333333,25.55088889,14.42902778,,17.49852778,4.723777778,5.577333333,4.521333333,13.43638889,3.587625
FCB,GOM 7.8,7,19.17211111,11.00155556,-29.82516667,12.06677778,24.57016667,22.95077778,22.19005556,7.129333333,25.62338889,13.93177778,,18.77727778,,,7.234333333,13.67988889,4.421625
FCB,GOM 1-1,1,20.91403333,9.743966667,-30.2466,14.29268,26.43242,24.41636,24.67922667,5.538766667,26.43939333,15.57741333,10.28525,17.79872,2.84196,5.426583333,-2.491416667,9.045666667,6.382
FCB,GOM 1-2,1,22.17453333,9.70005,-16.874725,13.009055,25.18992,25.36641,25.474435,6.00985,29.053435,17.980205,14.86965,19.97422,9.22316,7.394083333,-2.489041667,11.2868,1.692
FCB,GOM 1-3,1,20.30295,8.36155,-18.6221,11.64618,24.37067,24.12741,24.12206,4.9406,26.94156,15.83783,,19.00547,8.59746,5.372583333,-2.810916667,11.77375,
FCB,GOM 1-4,1,20.8667,9.0293,-24.3106,12.89001333,26.89558667,24.84891,24.33306,5.45485,27.59681,16.00183,10.52325,18.61372,8.88646,4.917583333,-2.228916667,12.73966667,
FCB,GOM 1-5,1,21.3226,10.0658,-18.0096,13.69893,24.68417,25.05536,23.29096,5.4418,27.03016,16.88108,13.72258333,20.36912,9.914626667,5.972083333,-0.016216667,14.8105,4.773
FCB,GOM 1-6,1,21.66,8.8328,-18.27635,13.16768,25.63767,25.33096,25.70036,6.362,28.26416,16.88028,13.58405,19.83212,11.67729333,5.877683333,1.368783333,9.817,
FCB,GOM 1-7,1,20.60186667,6.071133333,-44.8111,11.25934667,27.18492,23.72849333,22.88331,4.5236,28.89506,17.37708,,18.67672,,2.848083333,-2.858916667,,
FCB,GOM 1-8,1,20.72103333,9.093633333,-15.3892,12.72493,23.65442,24.34891,25.24572667,5.218885714,27.64484571,16.16893714,12.87365,19.17100571,8.81276,6.658654762,1.609011905,,
FCB,GOM 1-9,1,21.01336667,6.953466667,-23.89626667,13.00543,24.72442,24.52016,23.17431,5.8596,27.12172667,16.05524667,12.94875,20.68822,10.63629333,6.301683333,0.230416667,,
FCB,POM 6,,12.5402,-7.0354,-10.30276667,1.032846667,12.29208667,9.12416,8.235893333,,11.62406,12.25608,,10.13672,0.334126667,,-33.14741667,,
