Group.ID,Bulk,Ala,Asx,Glx,Gly,Ser,Pro,Ile,Leu,Lys,Phe,Thr,Tyr,Val,Year.AD,EAA,NEAA,RPP
STET-4904 7,-16.99,-14.98719298,-13.6789899,-8.459122807,2.082298851,0.981728395,-16.408,-12.16363636,-25.17212121,-15.38043478,-19.62375,-7.448888889,-20.44510417,-15.39253333,1979,-15.96018596,-8.411546407,-14.71593821
STET-4904 8,-16.51,-15.675,-16.72686869,-12.31964912,-1.381609195,2.024320988,-14.86046667,-16.82006061,-24.69012121,-16.22210145,-21.99635417,-1.86,-23.959375,-16.7094,1975,-16.4151872,-9.823212115,-15.13850448
STET-4904 22,-15.79,-13.50789474,-11.84636364,-9.432894737,2.99137931,0.794259259,-15.9941,-12.30972727,-24.13027273,-18.43858696,-19.5878125,-4.63030303,-20.63619792,-15.4695,1923,-15.22552311,-7.832602425,-14.03364613
STET-4904 25,-15.84,-15.10635965,-14.61030303,-10.03,-1.073275862,-1.11,-14.0723,-9.529454545,-22.14718182,-18.09086957,-22.74703125,-5.781666667,-18.78429688,-16.2707,1911,-15.29520686,-9.333706424,-14.09836245
STET-4904 40,-15.31,-13.95368421,-11.95151515,-11.20473684,0.126896552,-1.269814815,-12.2412,-15.01718182,-21.78145455,-21.9057971,-21.79773438,-0.22030303,-17.77070313,-15.8972,1856,-14.94277476,-8.415675744,-13.77105363
STET-4904 46,-15.39,-16.46885965,-16.84949495,-10.31864035,-2.486781609,6.556790123,-12.01583333,-12.1580303,-26.37863636,-23.12282609,-20.35703125,1.686868687,-18.12408854,-16.71183333,1834,-14.78373251,-8.597136628,-13.62334878
STET-4904 103,-15.58,-14.99561404,-13.0080303,-9.905526316,-1.52183908,-0.933703704,-13.0242,-12.47327273,-22.838,-24.44275362,-21.56085938,-4.58030303,-20.03255208,-20.4692,1621,-16.38432703,-8.89815224,-15.10984419
STET-4904 109,-15.39,-13.1625,-11.74015152,-10.97644737,1.179310345,-1.930555556,-12.9366,-12.11090909,-20.85327273,-25.32630435,-19.11101563,-4.384090909,-19.24828125,-16.111,1599,-14.51405767,-8.26115735,-13.37289783
STET-4904 135,-15.57,-13.61789474,-15.20787879,-10.23736842,0.191034483,-4.400740741,-12.8256,-14.97745455,-24.69854545,-19.23550725,-22.3625,-5.63030303,-19.09177083,-16.7924,1501,-16.89224061,-9.349741368,-15.58155092
STET-4904 170,-15.72,-18.26140351,-13.75833333,-10.20219298,-1.752586207,6.821296296,-11.99516667,-8.972878788,-25.73015152,-14.98297101,-21.98804688,-0.651767677,-19.82239583,-16.37183333,1371,-14.74293564,-8.191397734,-13.58546013
