"","Distance","Treatment","d15N","d13C"
"63",0.17,"a",9.480566921,-17.65441865
"64",0.34,"a",8.871777677,-16.92701082
"65",0.51,"a",9.242476078,-16.93411243
"66",0.68,"a",9.093794876,-16.86411084
"67",0.85,"a",9.150052628,-16.26960458
"68",1.02,"a",9.127951369,-16.63381575
"69",1.19,"a",8.695972202,-16.70178831
"94",0.17,"b",9.148043423,-15.0958098
"95",0.34,"b",8.425734072,-14.95377759
"96",0.51,"b",8.859722444,-15.24900168
"97",0.68,"b",8.950136688,-15.12624527
"98",0.85,"b",9.103840903,-14.39072132
"99",1.02,"b",8.818533733,-15.17697106
"100",1.19,"b",8.557337027,-13.29098619
"125",0.17,"c",8.996348413,-15.04609852
"126",0.34,"c",8.930044634,-15.32001779
"127",0.51,"c",8.837621184,-15.24697265
"128",0.68,"c",8.734147105,-15.28146619
"129",0.85,"c",8.822552144,-14.94870501
"130",1.02,"c",8.421715661,-14.92740017
"131",1.19,"c",8.474959605,-14.95580662
"157",0.34,"d",8.148663932,-16.35794878
"188",0.34,"e",8.635426925,-16.30833423
"219",0.34,"f",8.897996174,-16.1625282
"250",0.34,"g",8.306205481,-16.4116135
"281",0.34,"h",8.944450733,-16.24049393
"312",0.34,"i",8.748095552,-17.82303855
"343",0.34,"j",9.234233558,-16.60254034
"374",0.34,"k",9.254363496,-16.49047456
"405",0.34,"l",8.62832242,-16.66366713
"436",0.34,"m",8.445139983,-16.24291107
"466",0.17,"n",9.273574714,-16.78340008
"467",0.34,"n",8.9973612,-16.20403916
"468",0.51,"n",9.68839719,-16.25494961
"469",0.68,"n",9.159071657,-16.1521105
"470",0.85,"n",9.477470507,-16.12461886
"471",1.02,"n",8.857747824,-15.9708693
"472",1.19,"n",9.195230517,-16.12461886
"473",1.36,"n",9.16007607,-15.91690422
"474",1.53,"n",9.504589652,-15.63078749
"475",1.7,"n",8.698046192,-15.99123348
"476",1.87,"n",8.441920934,-15.48111077
"477",2.04,"n",9.233398202,-16.09814542
"478",2.21,"n",8.736213878,-16.03298005
"479",2.38,"n",8.730187401,-15.66642481
"480",2.55,"n",9.08072746,-15.53914868
"481",2.72,"n",8.543366625,-15.94032303
"482",2.89,"n",8.736213878,-15.9148678
"483",3.06,"n",9.218332011,-15.78453705
"484",3.23,"n",9.599004453,-15.18481195
"485",3.4,"n",8.478079794,-15.61958719
"486",3.57,"n",8.148632403,-15.85275705
"487",3.74,"n",9.186190802,-15.90163109
"488",3.91,"n",9.079723048,-15.83341108
"489",4.08,"n",9.310737986,-15.67558869
"490",4.25,"n",9.194226104,-15.6878072
"491",4.42,"n",9.122912797,-15.959669
"492",4.59,"n",9.450351362,-16.03501647
"493",4.76,"n",9.072692158,-15.92097706
"494",4.93,"n",8.743244767,-15.75093615
"495",5.1,"n",9.793860532,-16.43720902
"496",5.27,"n",10.35432286,-15.76315466
"497",0.17,"o",9.130647544,-16.28525039
"498",0.34,"o",8.780488894,-15.77177622
"499",0.51,"o",8.715906319,-15.79944848
"500",0.68,"o",8.412166395,-15.83019544
"501",0.85,"o",8.811771079,-16.40311372
"502",1.02,"o",8.411157292,-15.39153887
"503",1.19,"o",7.990361451,-15.38538947
"504",1.36,"o",7.9348608,-15.95523306
"505",1.53,"o",8.294101375,-15.44585849
"506",1.7,"o",7.469664438,-15.05434725
"507",1.87,"o",7.742122177,-15.57089611
"508",2.04,"o",8.261810087,-15.25420246
"509",2.21,"o",7.777440773,-15.66313698
"510",2.38,"o",8.088244416,-15.40793724
"511",2.55,"o",7.645248314,-15.52990017
"512",2.72,"o",8.741133888,-15.66416188
"513",2.89,"o",8.489867306,-16.07822088
"514",3.06,"o",9.150829599,-15.07894481
"515",3.23,"o",8.774434278,-15.69285903
"516",3.4,"o",8.902590326,-15.21935591
"517",3.57,"o",8.811771079,-15.77382602
"518",3.74,"o",9.373841304,-15.53912425
"519",3.91,"o",9.271921928,-15.43150991
"520",4.08,"o",9.29109488,-15.89168935
"521",4.25,"o",9.4091599,-14.94365821
"522",4.42,"o",8.90057212,-15.68875944
"523",4.59,"o",9.252748976,-15.60266796
"524",4.76,"o",9.000473291,-16.18788503
"525",4.93,"o",9.083219716,-15.7184815
"526",5.1,"o",9.680608537,-16.40311372
